Crop Name,Description,Temperature Range,Water Requirement,Growing Season,Soil Type and pH,Nutritional Information,Image Path or URL,Tips,Climate Condition,Soil Requirement,Growing Season,Yield Potential,,Maturity Timeline,Water Management,Nutrient Requirement,Pest and Disease Awareness
Rice,Rice is a staple food crop that plays a critical role in global food security. It thrives best in waterlogged paddy fields and requires ample water for optimal growth. Farmers must manage water levels and apply fertilizers judiciously to ensure high yields. Its consistent demand makes it a vital crop for both local consumption and export markets.,20-37�C,Very high; >1000 mm/year,Kharif (Juneâ€“October),Fertile clay loam; pH 5.5â€“7.0,High in carbohydrates; low protein (â‰ˆ7â€“8%),D:\Project\new\crop details images\rice.jpg,Use quality paddy seeds. Maintain consistent water levels. Ensure proper field leveling and drainage. Apply balanced fertilizers and control pests.,Tropical,Clay,Kharif,3500,,140,High (1500 mm),"N:120, P:60, K:60","Susceptible to blast, bacterial leaf blight"
Maize,"Maize is a versatile cereal grown for food, animal feed, and industrial uses. It adapts to a variety of soils and climatic conditions when given proper care. Effective pest control and irrigation management are crucial for maximizing yield. Its high yield potential and multipurpose nature drive profitability and encourage diverse market applications.",18-27�C,Moderate to high; 500â€“800 mm/year,Kharif/Summer (Juneâ€“September),Well-drained loam; pH 5.5â€“7.0,Rich in carbs; moderate protein (â‰ˆ9â€“11%),D:\Project\new\crop details images\maize.jpg,"Plant in wellâ€drained, fertile soil. Maintain adequate spacing between rows. Water consistently, especially during tasseling. Control weeds and monitor for pests.",Temperate,Sandy,Zaid,2800,,100,Moderate (600 mm),"N:100, P:50, K:50","Susceptible to stem borers, leaf blight"
Chickpea,"Chickpea is a nutrient-dense pulse that is rich in protein and dietary fiber. It grows well in well-drained soils under moderate climatic conditions. The crop is relatively drought-tolerant and requires minimal inputs, making it sustainable for small-scale farmers. Its rising popularity in various cuisines has steadily increased its market value.",15-28�C,Low to moderate; rainfed-friendly,Rabi (Novemberâ€“March),Well-drained loam/sandy loam; pH 6.0â€“8.0,"High protein (â‰ˆ18â€“22%), fiber, and minerals",D:\Project\new\crop details images\chickpeas.jpg,"Use disease-resistant, certified seeds. Plant in well-drained soil to avoid waterlogging. Pre-treat seeds to reduce pathogen risks. Practice crop rotation for soil health.",Temperate,Loamy,Rabi,900,,100,Low (400 mm),"N:20, P:40, K:20","Susceptible to ascochyta blight, pod rot"
Kidney Beans,Kidney Beans are a widely consumed pulse crop known for their rich protein content. They prefer warm climates and thrive in well-drained soils. Cultivation requires careful crop rotation and pest management to maintain soil health and productivity. Their versatility in cooking supports steady consumer demand in both local and international markets.,20-30�C,Moderate; 500â€“700 mm/year,Rabi or Warm (Novemberâ€“March or summer),"Loamy, well-drained soils; pH 6.0â€“7.5","Rich in protein, fiber, iron, and potassium",D:\Project\new\crop details images\kidney-beans.jpg,"Soak seeds before planting. Use rich, well-drained soil. Maintain even moisture without excess water. Control pests with integrated management.",Temperate,Loamy,Rabi,1200,,100,Low (400 mm),"N:30, P:40, K:30","Susceptible to rust, anthracnose"
Pigeon Peas,"Pigeon Peas are a hardy legume that also improves soil fertility through natural nitrogen fixation. They are well-suited for semi-arid regions and less fertile soils, making them a resilient choice. The crop offers drought resistance and requires minimal water, reducing the need for intensive management. Its established role in traditional recipes helps secure a stable market.",20-35�C,Moderate; 500â€“800 mm/year,Kharif (Juneâ€“October),Sandy loams; best in sandy loams; pH 6.0â€“7.5,"Good protein (â‰ˆ20â€“22%), fiber, vitamins, and minerals",D:\Project\new\crop details images\pigeon peas.png,Use inoculated seeds for nitrogen fixation. Plant on raised beds for better drainage. Intercrop with cereals to optimize land use. Keep up with timely weeding and pest control.,Tropical,Sandy,Kharif,1000,,120,Low (400 mm),"N:30, P:40, K:30","Susceptible to sterility mosaic virus, pod borer"
Moth Beans,Moth Beans are an underutilized pulse known for exceptional drought resistance. They adapt well to arid and semi-arid conditions with limited water availability. Their cultivation contributes to soil fertility and provides a viable option for crop diversification. This crop offers an opportunity for farmers in dry regions to boost their income while managing resource constraints.,25-35�C,Low; very drought tolerant,Kharif (Juneâ€“September),"Sandy, well-drained soils; pH 6.0â€“7.5",Decent protein and fiber with useful micronutrients,D:\Project\new\crop details images\moth-bean.jpg,"Select drought-tolerant varieties. Plant in sandy, well-drained soils. Require minimal irrigationâ€”avoid overwatering. Rotate with other crops to maintain fertility.",Arid,Sandy,Kharif,800,,80,Low (300 mm),"N:20, P:30, K:20",Susceptible to powdery mildew
Mung Bean,Mung Beans are fast-growing legumes valued for their high protein content and short growing period. They thrive in warm climates and are adaptable to various soil types. Multiple planting seasons are possible due to their quick maturation. Their popularity as both whole beans and sprouts further enhances their market appeal.,25-35�C,Low to moderate,Kharif/Summer (Juneâ€“September),"Light, sandy loam; pH 6.0â€“7.5","Good protein (â‰ˆ20â€“24%), fiber, vitamins; excellent for sprouting",D:\Project\new\crop details images\mung beans.jpg,"Use high-quality, certified seeds. Ensure proper plant spacing for airflow. Weed regularly to reduce competition. Irrigate moderately without waterlogging.",Arid,Sandy,Zaid,1100,,65,Low (300 mm),"N:20, P:30, K:20",Susceptible to yellow mosaic virus
Black Gram,"Black Gram, also known as urad beans, is essential in many South Asian culinary traditions. It grows best in warm climates with a variety of soil conditions and requires balanced moisture levels. Proper nutrient management is key to achieving quality yields. Its consistent culinary demand makes it a staple in both household and commercial kitchens.",25-35�C,Moderate; drought tolerant,Rabi (Novemberâ€“March),Well-drained loams; pH 6.0â€“7.0,"High protein (â‰ˆ20â€“25%), fiber, and minerals",D:\Project\new\crop details images\Black Gram (Urad Bean).jpg,"Plant in well-prepared, fertile soil. Pre-treat seeds to minimize disease. Use timely irrigation during critical stages. Monitor for pests and adjust management accordingly.",Temperate,Loamy,Kharif,1000,,65,Low (300 mm),"N:20, P:30, K:20",Susceptible to yellow mosaic virus
Lentil,Lentils are nutrient-dense pulses that feature a short growing period and minimal water requirements. They prefer cooler climates and well-drained soils for optimum productivity. The crop's low input needs contribute to its sustainability and ease of cultivation. High protein content and strong export demand have made lentils increasingly popular on the global market.,10-25�C,Low to moderate,Rabi (Novemberâ€“March),"Light, well-drained soils; pH 6.0â€“8.0","Very high protein (â‰ˆ25%), fiber, iron, and folate",D:\Project\new\crop details images\Lentil.jpg,"Choose early-maturing, disease-resistant varieties. Use light, well-drained soils with balanced pH. Avoid over-irrigation; maintain moderate moisture. Practice crop rotation to boost soil nitrogen.",Temperate,Loamy,Rabi,850,,80,Low (300 mm),"N:20, P:30, K:20","Susceptible to fusarium wilt, ascochyta blight"
Pomegranate,"Pomegranate is a fruit tree known for its antioxidant-rich, jewel-toned fruits. It thrives in arid to semi-arid regions with moderate watering and is well-adapted to varying climatic conditions. The hardy nature of the tree makes it a resilient choice for diverse growing environments. Its increasing popularity in fresh and processed markets drives consistent demand.",20-30�C,Moderate; needs regular watering,Flower in winter; fruit matures in summer,"Deep, well-drained soils; pH 5.5â€“7.0","Rich in antioxidants, vitamin C & K, and fiber",D:\Project\new\crop details images\pomogranate.jpg,"Plant in deep, well-drained loam. Ensure full sun exposure for optimal fruit set. Prune regularly to shape and remove dead branches. Apply balanced fertilizers and mulch for moisture conservation.",Tropical,Loamy,Kharif,2500,,190,Moderate (800 mm),"N:80, P:40, K:60","Susceptible to fruit rot, bacterial blight"
